cci_ID;Source;Dataset;Name;Latitude;Longitude;Year;double.check.number;check.type;Depth;Type;MeasurementsPerDay;X0;X20;X25;X40;X50;X60;X75;X80;X100;X120;X160;X200;X240;X250;X300;X320;X400;X500;X1000;X1500;X2000;M0;M20;M25;M40;M50;M60;M75;M80;M100;M120;M160;M200;M240;M250;M300;M320;M400;M500;M1000;M1500;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;;;;;;;
1;RHM;20069.txt;Wiese;79.5;76.98333333;2001;NA;1;80;NA;1;NA;-10.24978303;NA;-10.53296242;NA;NA;NA;-10.72356183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0.00275;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2002;NA;1;80;NA;1;NA;-10.82001472;NA;-10.9137724;NA;NA;NA;-10.91487711;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2003;NA;1;80;NA;1;NA;-11.17305236;NA;-10.99649706;NA;NA;NA;-10.83067204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0.002666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2004;NA;1;80;NA;1;NA;-12.1642732;NA;-12.23217145;NA;NA;NA;-12.12245818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00575;NA;0.00575;NA;NA;NA;0.008416667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2005;NA;1;80;NA;1;NA;-9.243042756;NA;-9.198080517;NA;NA;NA;-9.451310164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2006;NA;1;80;NA;1;NA;-8.359918715;NA;-8.508249002;NA;NA;NA;-8.493043395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.002666667;NA;0.005416667;NA;NA;NA;0.005333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2007;NA;1;80;NA;1;NA;-9.100437787;NA;-9.238191244;NA;NA;NA;-9.113885115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0.005416667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2008;NA;1;80;NA;1;NA;-9.01728395;NA;-9.242704101;NA;NA;NA;-9.262961968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00575;NA;0.00575;NA;NA;NA;0.00575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2009;NA;1;80;NA;1;NA;-8.786217358;NA;-8.737800179;NA;NA;NA;-8.926748989;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0.00275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2010;NA;1;80;NA;1;NA;-8.677834741;NA;-8.679953277;NA;NA;NA;-8.552773298;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2011;NA;1;80;NA;1;NA;-7.981294163;NA;-8.314564132;NA;NA;NA;-8.457051332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2012;NA;1;80;NA;1;NA;-5.451889685;NA;-5.652229191;NA;NA;NA;-5.854910609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00575;NA;0.00575;NA;NA;NA;0.01675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2013;NA;1;80;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.416666667;NA;0.416666667;NA;NA;NA;0.416666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;5;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2014;NA;1;80;NA;1;NA;-9.333493983;NA;-9.262532002;NA;NA;NA;-9.139277392;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
1;RHM;20069.txt;Wiese;79.5;76.98333333;2015;NA;1;80;NA;1;NA;-8.435344419;NA;-8.592925561;NA;NA;NA;-8.702912187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.018833333;NA;0.008166667;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.5;76.98333333;20069;80;NA;1
